"행정구역","2025년09월_총인구수","2025년09월_세대수","2025년09월_남자 인구수","2025년09월_여자 인구수"
"서울특별시  (1100000000)","9,318,500","4,505,357","4,491,997","4,826,503"
"서울특별시 종로구 (1111000000)","137,545","72,402","66,032","71,513"
"서울특별시 중구 (1114000000)","118,458","64,259","56,869","61,589"
"서울특별시 용산구 (1117000000)","202,636","103,187","96,590","106,046"
"서울특별시 성동구 (1120000000)","274,195","132,994","132,518","141,677"
"서울특별시 광진구 (1121500000)","332,072","171,265","158,955","173,117"
"서울특별시 동대문구 (1123000000)","344,572","176,040","168,148","176,424"
"서울특별시 중랑구 (1126000000)","377,101","188,870","184,274","192,827"
"서울특별시 성북구 (1129000000)","423,991","199,326","202,601","221,390"
"서울특별시 강북구 (1130500000)","280,068","142,545","134,794","145,274"
"서울특별시 도봉구 (1132000000)","300,820","139,130","145,194","155,626"
"서울특별시 노원구 (1135000000)","485,526","217,252","232,341","253,185"
"서울특별시 은평구 (1138000000)","457,412","215,129","216,297","241,115"
"서울특별시 서대문구 (1141000000)","301,098","146,450","142,334","158,764"
"서울특별시 마포구 (1144000000)","358,744","180,703","166,572","192,172"
"서울특별시 양천구 (1147000000)","426,587","179,924","207,678","218,909"
"서울특별시 강서구 (1150000000)","550,669","273,397","263,123","287,546"
"서울특별시 구로구 (1153000000)","385,222","184,587","188,346","196,876"
"서울특별시 금천구 (1154500000)","223,603","121,441","112,337","111,266"
"서울특별시 영등포구 (1156000000)","372,245","192,641","181,710","190,535"
"서울특별시 동작구 (1159000000)","373,409","187,337","180,130","193,279"
"서울특별시 관악구 (1162000000)","478,809","288,964","240,880","237,929"
"서울특별시 서초구 (1165000000)","412,479","172,911","195,928","216,551"
"서울특별시 강남구 (1168000000)","556,324","245,478","265,884","290,440"
"서울특별시 송파구 (1171000000)","645,729","286,836","309,190","336,539"
"서울특별시 강동구 (1174000000)","499,186","222,289","243,272","255,914"
"부산광역시  (2600000000)","3,248,359","1,574,726","1,579,327","1,669,032"
"부산광역시 중구 (2611000000)","36,729","23,349","17,791","18,938"
"부산광역시 서구 (2614000000)","102,322","53,610","49,015","53,307"
"부산광역시 동구 (2617000000)","84,160","46,340","40,817","43,343"
"부산광역시 영도구 (2620000000)","102,070","53,435","50,032","52,038"
"부산광역시 부산진구 (2623000000)","365,433","188,487","174,795","190,638"
"부산광역시 동래구 (2626000000)","274,078","122,914","131,987","142,091"
"부산광역시 남구 (2629000000)","251,504","119,180","122,145","129,359"
"부산광역시 북구 (2632000000)","263,825","122,092","129,324","134,501"
"부산광역시 해운대구 (2635000000)","373,263","169,726","178,671","194,592"
"부산광역시 사하구 (2638000000)","287,772","140,051","142,646","145,126"
"부산광역시 금정구 (2641000000)","207,438","104,801","100,877","106,561"
"부산광역시 강서구 (2644000000)","148,362","64,545","76,655","71,707"
"부산광역시 연제구 (2647000000)","211,599","99,957","100,894","110,705"
"부산광역시 수영구 (2650000000)","169,749","87,781","79,480","90,269"
"부산광역시 사상구 (2653000000)","195,173","98,789","97,532","97,641"
"부산광역시 기장군 (2671000000)","174,882","79,669","86,666","88,216"
"대구광역시  (2700000000)","2,356,372","1,111,207","1,154,611","1,201,761"
"대구광역시 중구 (2711000000)","100,724","50,169","48,178","52,546"
"대구광역시 동구 (2714000000)","339,912","165,494","166,063","173,849"
"대구광역시 서구 (2717000000)","162,529","84,432","80,484","82,045"
"대구광역시 남구 (2720000000)","135,984","75,546","64,740","71,244"
"대구광역시 북구 (2723000000)","411,210","193,019","203,440","207,770"
"대구광역시 수성구 (2726000000)","409,457","176,458","196,760","212,697"
"대구광역시 달서구 (2729000000)","519,009","238,800","254,025","264,984"
"대구광역시 달성군 (2771000000)","255,197","113,853","129,311","125,886"
"대구광역시 군위군 (2772000000)","22,350","13,436","11,610","10,740"
"인천광역시  (2800000000)","3,046,754","1,396,627","1,521,985","1,524,769"
"인천광역시 중구 (2811000000)","174,663","87,966","90,402","84,261"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0"
"인천광역시 동구 (2814000000)","56,764","27,338","28,425","28,339"
"인천광역시 미추홀구 (2817700000)","418,425","205,521","210,515","207,910"
"인천광역시 연수구 (2818500000)","407,833","168,172","201,829","206,004"
"인천광역시 남동구 (2820000000)","481,212","225,200","238,730","242,482"
"인천광역시 부평구 (2823700000)","491,820","226,455","241,505","250,315"
"인천광역시 계양구 (2824500000)","277,665","128,221","138,199","139,466"
"인천광역시 서구 (2826000000)","649,040","279,422","326,304","322,736"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,664","36,025","34,854","34,810"
"인천광역시 옹진군 (2872000000)","19,668","12,307","11,222","8,446"
"광주광역시  (2900000000)","1,397,122","659,278","689,326","707,796"
"광주광역시 동구 (2911000000)","105,032","55,122","51,436","53,596"
"광주광역시 서구 (2914000000)","276,083","132,726","134,970","141,113"
"광주광역시 남구 (2915500000)","207,944","96,322","99,349","108,595"
"광주광역시 북구 (2917000000)","418,974","202,000","207,024","211,950"
"광주광역시 광산구 (2920000000)","389,089","173,108","196,547","192,542"
"대전광역시  (3000000000)","1,442,228","697,288","718,760","723,468"
"대전광역시 동구 (3011000000)","219,546","112,976","110,534","109,012"
"대전광역시 중구 (3014000000)","226,046","109,837","110,812","115,234"
"대전광역시 서구 (3017000000)","463,776","222,119","227,233","236,543"
"대전광역시 유성구 (3020000000)","366,516","171,180","185,739","180,777"
"대전광역시 대덕구 (3023000000)","166,344","81,176","84,442","81,902"
"울산광역시  (3100000000)","1,092,634","498,241","562,946","529,688"
"울산광역시 중구 (3111000000)","204,072","94,271","103,239","100,833"
"울산광역시 남구 (3114000000)","304,440","142,819","155,840","148,600"
"울산광역시 동구 (3117000000)","149,681","68,335","78,221","71,460"
"울산광역시 북구 (3120000000)","215,617","89,963","112,126","103,491"
"울산광역시 울주군 (3171000000)","218,824","102,853","113,520","105,304"
"세종특별자치시  (3600000000)","392,230","165,343","195,235","196,995"
"세종특별자치시  (3611000000)","392,230","165,343","195,235","196,995"
"경기도  (4100000000)","13,721,178","6,110,044","6,891,911","6,829,267"
"경기도 수원시 (4111000000)","1,188,644","542,056","597,209","591,435"
"경기도 수원시 장안구 (4111100000)","271,690","122,451","136,197","135,493"
"경기도 수원시 권선구 (4111300000)","361,366","165,373","182,360","179,006"
"경기도 수원시 팔달구 (4111500000)","192,685","97,793","96,907","95,778"
"경기도 수원시 영통구 (4111700000)","362,903","156,439","181,745","181,158"
"경기도 성남시 (4113000000)","907,068","409,693","448,278","458,790"
"경기도 성남시 수정구 (4113100000)","232,661","116,320","117,637","115,024"
"경기도 성남시 중원구 (4113300000)","204,532","100,032","102,974","101,558"
"경기도 성남시 분당구 (4113500000)","469,875","193,341","227,667","242,208"
"경기도 의정부시 (4115000000)","461,568","211,913","226,599","234,969"
"경기도 안양시 (4117000000)","563,789","239,976","278,030","285,759"
"경기도 안양시 만안구 (4117100000)","234,036","105,519","116,556","117,480"
"경기도 안양시 동안구 (4117300000)","329,753","134,457","161,474","168,279"
"경기도 부천시 (4119000000)","761,265","342,749","375,202","386,063"
"경기도 부천시 원미구 (4119200000)","385,788","174,663","189,219","196,569"
"경기도 부천시 소사구 (4119400000)","226,200","98,960","110,694","115,506"
"경기도 부천시 오정구 (4119600000)","149,277","69,126","75,289","73,988"
"경기도 광명시 (4121000000)","289,891","120,982","141,843","148,048"
"경기도 평택시 (4122000000)","605,625","289,642","317,623","288,002"
"경기도 송탄출장소 (4122200000)","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0"
"경기도 동두천시 (4125000000)","86,830","43,597","43,257","43,573"
"경기도 안산시 (4127000000)","613,914","287,971","314,459","299,455"
"경기도 안산시 상록구 (4127100000)","323,777","151,829","165,313","158,464"
"경기도 안산시 단원구 (4127300000)","290,137","136,142","149,146","140,991"
"경기도 고양시 (4128000000)","1,061,192","465,909","516,463","544,729"
"경기도 고양시 덕양구 (4128100000)","486,764","219,396","238,571","248,193"
"경기도 고양시 일산동구 (4128500000)","295,390","131,932","143,235","152,155"
"경기도 고양시 일산서구 (4128700000)","279,038","114,581","134,657","144,381"
"경기도 과천시 (4129000000)","80,021","28,766","38,984","41,037"
"경기도 구리시 (4131000000)","186,070","81,596","92,136","93,934"
"경기도 남양주시 (4136000000)","730,401","308,720","361,162","369,239"
"경기도 풍양출장소 (4136200000)","0","0","0","0"
"경기도 오산시 (4137000000)","247,325","113,901","129,027","118,298"
"경기도 시흥시 (4139000000)","514,331","229,271","267,989","246,342"
"경기도 군포시 (4141000000)","252,284","111,832","125,069","127,215"
"경기도 의왕시 (4143000000)","158,229","64,996","78,144","80,085"
"경기도 하남시 (4145000000)","327,792","140,887","162,757","165,035"
"경기도 용인시 (4146000000)","1,092,574","449,521","541,218","551,356"
"경기도 용인시 처인구 (4146100000)","283,396","129,925","145,053","138,343"
"경기도 용인시 기흥구 (4146300000)","434,543","176,850","213,975","220,568"
"경기도 용인시 수지구 (4146500000)","374,635","142,746","182,190","192,445"
"경기도 파주시 (4148000000)","522,654","231,536","263,511","259,143"
"경기도 이천시 (4150000000)","224,219","107,739","117,116","107,103"
"경기도 안성시 (4155000000)","196,691","97,034","101,674","95,017"
"경기도 김포시 (4157000000)","484,512","206,703","241,732","242,780"
"경기도 화성시 (4159000000)","986,712","426,754","511,670","475,042"
"경기도 화성시동부출장소 (4159200000)","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","0","0"
"경기도 광주시 (4161000000)","397,494","175,877","202,504","194,990"
"경기도 양주시 (4163000000)","294,789","131,602","148,257","146,532"
"경기도 포천시 (4165000000)","140,741","73,520","74,469","66,272"
"경기도 여주시 (4167000000)","114,134","56,782","58,150","55,984"
"경기도 연천군 (4180000000)","41,027","21,910","21,425","19,602"
"경기도 가평군 (4182000000)","62,229","33,098","31,990","30,239"
"경기도 양평군 (4183000000)","127,163","63,511","63,964","63,199"
"강원특별자치도  (5100000000)","1,509,396","767,540","758,966","750,430"
"강원특별자치도 춘천시 (5111000000)","285,162","137,717","140,549","144,613"
"강원특별자치도 원주시 (5113000000)","362,881","175,582","179,711","183,170"
"강원특별자치도 강릉시 (5115000000)","206,942","105,090","102,537","104,405"
"강원특별자치도 동해시 (5117000000)","86,602","43,547","43,964","42,638"
"강원특별자치도 태백시 (5119000000)","37,376","20,180","18,878","18,498"
"강원특별자치도 속초시 (5121000000)","79,960","41,160","39,526","40,434"
"강원특별자치도 삼척시 (5123000000)","60,932","33,490","31,078","29,854"
"강원특별자치도 홍천군 (5172000000)","66,341","35,078","34,208","32,133"
"강원특별자치도 횡성군 (5173000000)","45,765","24,091","23,599","22,166"
"강원특별자치도 영월군 (5175000000)","36,296","21,007","18,822","17,474"
"강원특별자치도 평창군 (5176000000)","39,893","22,006","20,699","19,194"
"강원특별자치도 정선군 (5177000000)","33,266","19,129","17,365","15,901"
"강원특별자치도 철원군 (5178000000)","39,994","20,228","20,635","19,359"
"강원특별자치도 화천군 (5179000000)","22,504","12,003","12,075","10,429"
"강원특별자치도 양구군 (5180000000)","20,466","10,405","10,740","9,726"
"강원특별자치도 인제군 (5181000000)","30,894","16,575","16,901","13,993"
"강원특별자치도 고성군 (5182000000)","26,776","15,322","13,705","13,071"
"강원특별자치도 양양군 (5183000000)","27,346","14,930","13,974","13,372"
"충청북도  (4300000000)","1,592,431","794,981","811,457","780,974"
"충청북도 청주시 (4311000000)","857,192","408,963","433,652","423,540"
"충청북도 청주시 상당구 (4311100000)","196,148","89,541","97,420","98,728"
"충청북도 청주시 서원구 (4311200000)","180,433","88,554","90,003","90,430"
"충청북도 청주시 흥덕구 (4311300000)","292,227","139,819","149,052","143,175"
"충청북도 청주시 청원구 (4311400000)","188,384","91,049","97,177","91,207"
"충청북도 충주시 (4313000000)","207,063","104,605","104,987","102,076"
"충청북도 제천시 (4315000000)","128,049","66,274","64,609","63,440"
"충청북도 보은군 (4372000000)","30,309","16,798","15,435","14,874"
"충청북도 옥천군 (4373000000)","48,373","25,749","24,498","23,875"
"충청북도 영동군 (4374000000)","42,819","23,606","21,580","21,239"
"충청북도 증평군 (4374500000)","37,129","19,093","19,368","17,761"
"충청북도 진천군 (4375000000)","85,971","42,901","45,440","40,531"
"충청북도 괴산군 (4376000000)","35,675","21,253","18,513","17,162"
"충청북도 음성군 (4377000000)","92,908","50,495","49,619","43,289"
"충청북도 단양군 (4380000000)","26,943","15,244","13,756","13,187"
"충청남도  (4400000000)","2,136,551","1,061,546","1,096,785","1,039,766"
"충청남도 천안시 (4413000000)","663,595","317,455","340,331","323,264"
"충청남도 천안시 동남구 (4413100000)","262,257","127,372","132,875","129,382"
"충청남도 천안시 서북구 (4413300000)","401,338","190,083","207,456","193,882"
"충청남도 공주시 (4415000000)","100,449","53,822","50,078","50,371"
"충청남도 보령시 (4418000000)","92,431","49,001","46,817","45,614"
"충청남도 아산시 (4420000000)","358,397","167,749","186,957","171,440"
"충청남도 서산시 (4421000000)","172,903","84,273","90,599","82,304"
"충청남도 논산시 (4423000000)","107,103","57,124","53,696","53,407"
"충청남도 계룡시 (4425000000)","46,032","19,554","22,942","23,090"
"충청남도 당진시 (4427000000)","172,587","86,020","92,679","79,908"
"충청남도 금산군 (4471000000)","49,096","26,678","24,967","24,129"
"충청남도 부여군 (4476000000)","58,638","32,214","29,231","29,407"
"충청남도 서천군 (4477000000)","47,444","26,184","23,585","23,859"
"충청남도 청양군 (4479000000)","29,078","16,571","14,883","14,195"
"충청남도 홍성군 (4480000000)","100,154","50,228","50,116","50,038"
"충청남도 예산군 (4481000000)","78,970","41,243","39,677","39,293"
"충청남도 태안군 (4482500000)","59,674","33,430","30,227","29,447"
"전북특별자치도  (5200000000)","1,727,716","868,058","860,760","866,956"
"전북특별자치도 전주시 (5211000000)","628,663","297,120","308,311","320,352"
"전북특별자치도 전주시 완산구 (5211100000)","317,981","152,889","154,010","163,971"
"전북특별자치도 전주시 덕진구 (5211300000)","310,682","144,231","154,301","156,381"
"전북특별자치도 군산시 (5213000000)","256,556","125,930","130,248","126,308"
"전북특별자치도 익산시 (5214000000)","267,505","132,661","133,092","134,413"
"전북특별자치도 정읍시 (5218000000)","100,833","54,321","50,379","50,454"
"전북특별자치도 남원시 (5219000000)","74,715","39,907","36,712","38,003"
"전북특별자치도 김제시 (5221000000)","81,586","44,300","40,917","40,669"
"전북특별자치도 완주군 (5271000000)","100,376","50,254","51,559","48,817"
"전북특별자치도 진안군 (5272000000)","24,205","13,770","12,385","11,820"
"전북특별자치도 무주군 (5273000000)","22,810","13,004","11,461","11,349"
"전북특별자치도 장수군 (5274000000)","20,395","11,512","10,283","10,112"
"전북특별자치도 임실군 (5275000000)","25,297","14,819","13,077","12,220"
"전북특별자치도 순창군 (5277000000)","26,741","14,647","13,199","13,542"
"전북특별자치도 고창군 (5279000000)","50,595","28,507","25,367","25,228"
"전북특별자치도 부안군 (5280000000)","47,439","27,306","23,770","23,669"
"전라남도  (4600000000)","1,779,599","913,933","898,858","880,741"
"전라남도 목포시 (4611000000)","204,832","103,431","101,779","103,053"
"전라남도 여수시 (4613000000)","264,298","127,799","134,423","129,875"
"전라남도 순천시 (4615000000)","275,071","127,593","137,384","137,687"
"전라남도 나주시 (4617000000)","117,195","60,278","59,271","57,924"
"전라남도 광양시 (4623000000)","155,297","73,201","81,527","73,770"
"전라남도 담양군 (4671000000)","44,195","24,000","22,342","21,853"
"전라남도 곡성군 (4672000000)","26,597","15,591","13,276","13,321"
"전라남도 구례군 (4673000000)","23,841","13,416","11,650","12,191"
"전라남도 고흥군 (4677000000)","59,669","35,126","29,476","30,193"
"전라남도 보성군 (4678000000)","36,684","21,679","18,039","18,645"
"전라남도 화순군 (4679000000)","60,384","31,684","29,933","30,451"
"전라남도 장흥군 (4680000000)","34,210","19,683","16,835","17,375"
"전라남도 강진군 (4681000000)","31,728","18,078","15,562","16,166"
"전라남도 해남군 (4682000000)","62,297","34,392","31,280","31,017"
"전라남도 영암군 (4683000000)","50,264","28,407","26,444","23,820"
"전라남도 무안군 (4684000000)","95,567","46,377","48,115","47,452"
"전라남도 함평군 (4686000000)","29,541","17,648","15,074","14,467"
"전라남도 영광군 (4687000000)","53,191","28,497","26,643","26,548"
"전라남도 장성군 (4688000000)","42,881","23,562","22,007","20,874"
"전라남도 완도군 (4689000000)","44,838","25,155","22,722","22,116"
"전라남도 진도군 (4690000000)","28,136","16,383","14,079","14,057"
"전라남도 신안군 (4691000000)","38,883","21,953","20,997","17,886"
"경상북도  (4700000000)","2,512,441","1,296,514","1,271,548","1,240,893"
"경상북도 포항시 (4711000000)","489,064","238,128","248,055","241,009"
"경상북도 포항시 남구 (4711100000)","216,737","109,082","112,481","104,256"
"경상북도 포항시 북구 (4711300000)","272,327","129,046","135,574","136,753"
"경상북도 경주시 (4713000000)","244,215","126,376","122,253","121,962"
"경상북도 김천시 (4715000000)","134,427","69,291","67,748","66,679"
"경상북도 안동시 (4717000000)","153,399","81,289","75,970","77,429"
"경상북도 구미시 (4719000000)","404,157","192,882","208,872","195,285"
"경상북도 영주시 (4721000000)","97,548","51,354","48,520","49,028"
"경상북도 영천시 (4723000000)","95,914","54,102","49,081","46,833"
"경상북도 상주시 (4725000000)","90,400","48,923","44,710","45,690"
"경상북도 문경시 (4728000000)","65,755","36,219","32,314","33,441"
"경상북도 경산시 (4729000000)","265,042","132,452","133,154","131,888"
"경상북도 의성군 (4773000000)","48,001","29,088","24,054","23,947"
"경상북도 청송군 (4775000000)","23,491","13,979","11,826","11,665"
"경상북도 영양군 (4776000000)","15,185","8,930","7,570","7,615"
"경상북도 영덕군 (4777000000)","32,840","19,452","15,748","17,092"
"경상북도 청도군 (4782000000)","40,198","23,462","20,056","20,142"
"경상북도 고령군 (4783000000)","29,662","17,302","15,315","14,347"
"경상북도 성주군 (4784000000)","40,872","23,984","21,381","19,491"
"경상북도 칠곡군 (4785000000)","105,190","53,481","55,339","49,851"
"경상북도 예천군 (4790000000)","54,013","28,008","26,712","27,301"
"경상북도 봉화군 (4792000000)","28,322","16,506","14,463","13,859"
"경상북도 울진군 (4793000000)","45,925","25,774","23,425","22,500"
"경상북도 울릉군 (4794000000)","8,821","5,532","4,982","3,839"
"경상남도  (4800000000)","3,210,425","1,546,862","1,618,878","1,591,547"
"경상남도 창원시 (4812000000)","992,802","462,129","502,344","490,458"
"경상남도 창원시 의창구 (4812100000)","208,584","97,977","106,059","102,525"
"경상남도 창원시 성산구 (4812300000)","244,467","108,653","124,718","119,749"
"경상남도 창원시 마산합포구 (4812500000)","176,338","86,662","87,348","88,990"
"경상남도 창원시 마산회원구 (4812700000)","177,652","83,268","88,416","89,236"
"경상남도 창원시 진해구 (4812900000)","185,761","85,569","95,803","89,958"
"경상남도 진주시 (4817000000)","336,964","162,395","166,546","170,418"
"경상남도 통영시 (4822000000)","117,099","59,338","58,837","58,262"
"경상남도 사천시 (4824000000)","108,166","56,044","54,951","53,215"
"경상남도 사천남양출장소 (4824500000)","0","0","0","0"
"경상남도 김해시 (4825000000)","532,894","237,955","269,479","263,415"
"경상남도 장유출장소 (4825200000)","0","0","0","0"
"경상남도 밀양시 (4827000000)","99,477","54,040","49,312","50,165"
"경상남도 거제시 (4831000000)","231,319","106,912","121,560","109,759"
"경상남도 양산시 (4833000000)","360,574","165,227","180,612","179,962"
"경상남도 양산시웅상출장소 (4833200000)","0","0","0","0"
"경상남도 의령군 (4872000000)","24,671","14,775","12,357","12,314"
"경상남도 함안군 (4873000000)","57,725","29,965","29,622","28,103"
"경상남도 창녕군 (4874000000)","55,010","31,693","27,667","27,343"
"경상남도 고성군 (4882000000)","47,241","26,320","23,960","23,281"
"경상남도 남해군 (4884000000)","39,296","22,141","19,166","20,130"
"경상남도 하동군 (4885000000)","40,170","23,308","20,177","19,993"
"경상남도 산청군 (4886000000)","32,918","19,612","16,348","16,570"
"경상남도 함양군 (4887000000)","35,553","20,302","17,359","18,194"
"경상남도 거창군 (4888000000)","59,160","31,255","29,152","30,008"
"경상남도 합천군 (4889000000)","39,386","23,451","19,429","19,957"
"제주특별자치도  (5000000000)","665,610","315,381","332,517","333,093"
"제주특별자치도 제주시 (5011000000)","485,634","226,550","242,001","243,633"
"제주특별자치도 서귀포시 (5013000000)","179,976","88,831","90,516","89,460"
